Configuration,Adaptation,LLM,Repeat,Label,Status,Duration Seconds,Output Dir,ML Summary CSV,Rationale CSV
never,,deepseek-r1:8b,1,paper__rq2__never__r01,ok,582.6,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r01/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,1,paper__rq2__random__r01,ok,497.0,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r01/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,1,paper__rq2__expert_driven__r01,ok,551.9,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r01/performance_MLdata/FLwithAP_MLdata.csv,
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,1,paper__rq2__voting_based__r01,failed(1),2.6,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r01,,
role_based,Multiple AI-Agents (Role-Based),deepseek-r1:8b,1,paper__rq2__role_based__r01,ok,1109.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r01/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r01/performance/FLwithAP_adaptation_rationales.csv
debate_based,Multiple AI-Agents (Debate-Based),deepseek-r1:8b,1,paper__rq2__debate_based__r01,ok,997.9,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r01/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r01/performance/FLwithAP_adaptation_rationales.csv
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,1,paper__rq2__voting_based__r01,ok,1075.6,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r01/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r01/performance/FLwithAP_adaptation_rationales.csv
never,,deepseek-r1:8b,2,paper__rq2__never__r02,ok,493.7,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r02/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,3,paper__rq2__never__r03,ok,505.4,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r03/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,4,paper__rq2__never__r04,ok,498.6,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r04/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,5,paper__rq2__never__r05,ok,469.0,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r05/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,6,paper__rq2__never__r06,ok,432.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r06/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,7,paper__rq2__never__r07,ok,471.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r07/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,8,paper__rq2__never__r08,ok,478.0,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r08/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,9,paper__rq2__never__r09,ok,515.9,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r09/performance_MLdata/FLwithAP_MLdata.csv,
never,,deepseek-r1:8b,10,paper__rq2__never__r10,ok,474.6,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r10/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,2,paper__rq2__random__r02,ok,487.8,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r02/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,3,paper__rq2__random__r03,ok,493.4,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r03/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,4,paper__rq2__random__r04,ok,498.2,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r04/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,5,paper__rq2__random__r05,ok,503.9,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r05/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,6,paper__rq2__random__r06,ok,498.3,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r06/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,7,paper__rq2__random__r07,ok,503.4,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r07/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,8,paper__rq2__random__r08,ok,513.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r08/performance_MLdata/FLwithAP_MLdata.csv,
