Configuration,Display Name,Repeat,Status,Stage Run Dir,Exported CSV,Exported Rationale CSV
never,Never,1,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r1.csv,
never,Never,2,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r2.csv,
never,Never,3,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r3.csv,
never,Never,4,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r4.csv,
never,Never,5,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r5.csv,
never,Never,6,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r6.csv,
never,Never,7,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r7.csv,
never,Never,8,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r8.csv,
never,Never,9,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r9.csv,
never,Never,10,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__never__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/never/r10.csv,
random,Random,1,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r1.csv,
random,Random,2,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r2.csv,
random,Random,3,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r3.csv,
random,Random,4,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r4.csv,
random,Random,5,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r5.csv,
random,Random,6,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r6.csv,
random,Random,7,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r7.csv,
random,Random,8,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r8.csv,
random,Random,9,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r9.csv,
random,Random,10,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/random/r10.csv,
expert_driven,Expert-Driven,1,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r1.csv,
expert_driven,Expert-Driven,2,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r2.csv,
expert_driven,Expert-Driven,3,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r3.csv,
expert_driven,Expert-Driven,4,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r4.csv,
expert_driven,Expert-Driven,5,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r5.csv,
expert_driven,Expert-Driven,6,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r6.csv,
expert_driven,Expert-Driven,7,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r7.csv,
