Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 1,1,2.10,0.0,0.00,3.08,5.17,3,38.60,75.45,CNN 16k,IID,MNIST,0.3560,0.0,0.0,0.0,1.9202,0.3668,0.2367,2.2306,client_registry|client_selector
Client 3,1,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,1,2.46,0.0,0.00,2.71,5.17,3,46.80,73.70,CNN 16k,Non-IID,MNIST,0.1849,0.0,0.0,0.0,1.9202,0.3668,0.2367,2.2306,client_registry|client_selector
Client 1,2,2.20,0.0,0.00,0.81,3.01,3,37.50,76.75,CNN 16k,IID,MNIST,0.1965,0.0,0.0,0.0,1.7459,0.3809,0.2358,2.3122,client_registry|client_selector
Client 3,2,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,2,2.27,0.0,0.00,0.74,3.01,3,37.35,76.55,CNN 16k,Non-IID,MNIST,0.0607,0.0,0.0,0.0,1.7459,0.3809,0.2358,2.3122,client_registry|client_selector
Client 1,3,2.15,0.0,0.00,0.72,2.88,3,35.75,77.20,CNN 16k,IID,MNIST,0.1681,0.0,0.0,0.0,1.6767,0.4216,0.2915,2.0581,client_registry|client_selector
Client 3,3,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,3,2.14,0.0,0.00,0.73,2.88,3,36.70,77.30,CNN 16k,Non-IID,MNIST,0.0461,0.0,0.0,0.0,1.6767,0.4216,0.2915,2.0581,client_registry|client_selector
Client 1,4,2.19,0.0,0.00,0.69,2.88,3,36.20,77.60,CNN 16k,IID,MNIST,0.1587,0.0,0.0,0.0,1.5986,0.3951,0.2625,2.2324,client_registry|client_selector
Client 3,4,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,4,2.18,0.0,0.00,0.71,2.88,3,35.95,77.70,CNN 16k,Non-IID,MNIST,0.0374,0.0,0.0,0.0,1.5986,0.3951,0.2625,2.2324,client_registry|client_selector
Client 1,5,2.16,0.0,0.00,0.68,2.83,3,32.20,77.45,CNN 16k,IID,MNIST,0.1442,0.0,0.0,0.0,1.6061,0.4632,0.3400,1.9998,client_registry|client_selector
Client 3,5,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,5,2.11,0.0,0.00,0.72,2.83,3,36.25,77.50,CNN 16k,Non-IID,MNIST,0.0350,0.0,0.0,0.0,1.6061,0.4632,0.3400,1.9998,client_registry|client_selector
Client 1,6,2.14,0.0,0.00,0.74,2.87,3,38.20,77.85,CNN 16k,IID,MNIST,0.1393,0.0,0.0,0.0,1.5766,0.4064,0.2721,2.1449,client_registry|client_selector
Client 3,6,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,6,2.15,0.0,0.00,0.73,2.87,3,32.85,77.55,CNN 16k,Non-IID,MNIST,0.0315,0.0,0.0,0.0,1.5766,0.4064,0.2721,2.1449,client_registry|client_selector
Client 1,7,2.15,0.0,0.00,0.77,2.91,3,36.15,78.05,CNN 16k,IID,MNIST,0.1352,0.0,0.0,0.0,1.6073,0.4815,0.3848,1.9930,client_registry|client_selector
