Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 3,1,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,1,2.29,0.0,0.00,3.31,5.59,3,38.15,73.70,CNN 16k,Non-IID,MNIST,0.1763,0.0,0.0,0.0,1.9254,0.3743,0.2257,2.2823,client_registry|client_selector
Client 1,1,2.37,0.0,0.00,3.23,5.59,3,38.75,73.75,CNN 16k,IID,MNIST,0.3691,0.0,0.0,0.0,1.9254,0.3743,0.2257,2.2823,client_registry|client_selector
Client 3,2,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,2,2.39,0.0,0.00,1.17,3.55,3,35.00,74.70,CNN 16k,Non-IID,MNIST,0.0575,0.0,0.0,0.0,1.7009,0.3803,0.2223,2.3538,client_registry|client_selector
Client 1,2,2.34,0.0,0.00,1.21,3.55,3,34.10,74.60,CNN 16k,IID,MNIST,0.2023,0.0,0.0,0.0,1.7009,0.3803,0.2223,2.3538,client_registry|client_selector
Client 3,3,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,3,2.39,0.0,0.00,1.21,3.61,3,34.85,75.15,CNN 16k,Non-IID,MNIST,0.0424,0.0,0.0,0.0,1.6145,0.3987,0.2642,2.2284,client_registry|client_selector
Client 1,3,2.41,0.0,0.00,1.20,3.61,3,34.30,75.20,CNN 16k,IID,MNIST,0.1678,0.0,0.0,0.0,1.6145,0.3987,0.2642,2.2284,client_registry|client_selector
Client 3,4,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,4,2.35,0.0,0.00,1.09,3.44,3,35.90,75.40,CNN 16k,Non-IID,MNIST,0.0375,0.0,0.0,0.0,1.6652,0.4258,0.3116,2.1263,client_registry|client_selector
Client 1,4,2.37,0.0,0.00,1.07,3.44,3,34.00,75.50,CNN 16k,IID,MNIST,0.1517,0.0,0.0,0.0,1.6652,0.4258,0.3116,2.1263,client_registry|client_selector
Client 3,5,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,5,2.32,0.0,0.00,1.28,3.60,3,33.65,75.40,CNN 16k,Non-IID,MNIST,0.0349,0.0,0.0,0.0,1.6771,0.4206,0.3078,2.1762,client_registry|client_selector
Client 1,5,2.32,0.0,0.00,1.28,3.60,3,38.75,75.40,CNN 16k,IID,MNIST,0.1429,0.0,0.0,0.0,1.6771,0.4206,0.3078,2.1762,client_registry|client_selector
Client 3,6,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,6,2.33,0.0,0.00,1.17,3.50,3,36.75,74.35,CNN 16k,Non-IID,MNIST,0.0353,0.0,0.0,0.0,1.6268,0.3883,0.2456,2.2369,client_registry|client_selector
Client 1,6,2.33,0.0,0.00,1.17,3.50,3,35.75,74.35,CNN 16k,IID,MNIST,0.1376,0.0,0.0,0.0,1.6268,0.3883,0.2456,2.2369,client_registry|client_selector
Client 3,7,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,7,2.30,0.0,0.00,1.17,3.47,3,35.00,75.60,CNN 16k,Non-IID,MNIST,0.0323,0.0,0.0,0.0,1.5958,0.5095,0.4425,1.7835,client_registry|client_selector
