Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 1,1,2.31,0.0,0.00,3.11,5.42,3,38.10,71.10,CNN 16k,IID,MNIST,0.3727,0.0,0.0,0.0,1.9280,0.3704,0.2271,2.2644,client_registry|client_selector
Client 3,1,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,1,2.38,0.0,0.00,3.04,5.42,3,45.75,69.85,CNN 16k,Non-IID,MNIST,0.1904,0.0,0.0,0.0,1.9280,0.3704,0.2271,2.2644,client_registry|client_selector
Client 1,2,2.21,0.0,0.00,1.05,3.25,3,31.80,71.20,CNN 16k,IID,MNIST,0.1996,0.0,0.0,0.0,1.7453,0.3898,0.2480,2.3001,client_registry|client_selector
Client 3,2,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,2,2.16,0.0,0.00,1.09,3.25,3,34.70,71.50,CNN 16k,Non-IID,MNIST,0.0593,0.0,0.0,0.0,1.7453,0.3898,0.2480,2.3001,client_registry|client_selector
Client 1,3,2.14,0.0,0.00,1.05,3.19,3,35.90,71.45,CNN 16k,IID,MNIST,0.1646,0.0,0.0,0.0,1.7412,0.3823,0.2237,2.3657,client_registry|client_selector
Client 3,3,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,3,2.13,0.0,0.00,1.06,3.19,3,31.55,71.50,CNN 16k,Non-IID,MNIST,0.0432,0.0,0.0,0.0,1.7412,0.3823,0.2237,2.3657,client_registry|client_selector
Client 1,4,2.17,0.0,0.00,1.01,3.18,3,34.80,71.45,CNN 16k,IID,MNIST,0.1533,0.0,0.0,0.0,1.5803,0.4416,0.3321,2.0633,client_registry|client_selector
