Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 3,1,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,1,2.27,0.0,0.00,3.40,5.67,3,50.15,83.10,CNN 16k,Non-IID,MNIST,0.1757,0.0,0.0,0.0,1.9175,0.3644,0.2415,2.2243,client_registry|client_selector
Client 1,1,2.35,0.0,0.00,3.32,5.67,3,51.50,83.00,CNN 16k,IID,MNIST,0.3856,0.0,0.0,0.0,1.9175,0.3644,0.2415,2.2243,client_registry|client_selector
Client 3,2,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,2,2.31,0.0,0.00,1.21,3.53,3,54.85,83.00,CNN 16k,Non-IID,MNIST,0.0616,0.0,0.0,0.0,1.6683,0.3978,0.2635,2.2018,client_registry|client_selector
Client 1,2,2.26,0.0,0.00,1.27,3.53,3,58.30,83.10,CNN 16k,IID,MNIST,0.2106,0.0,0.0,0.0,1.6683,0.3978,0.2635,2.2018,client_registry|client_selector
Client 3,3,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,3,2.31,0.0,0.00,1.17,3.48,3,58.50,83.40,CNN 16k,Non-IID,MNIST,0.0462,0.0,0.0,0.0,1.5574,0.4325,0.3265,1.9823,client_registry|client_selector
Client 1,3,2.27,0.0,0.00,1.21,3.48,3,61.25,83.45,CNN 16k,IID,MNIST,0.1648,0.0,0.0,0.0,1.5574,0.4325,0.3265,1.9823,client_registry|client_selector
Client 3,4,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,4,2.25,0.0,0.00,1.15,3.40,3,56.20,83.35,CNN 16k,Non-IID,MNIST,0.0389,0.0,0.0,0.0,1.6257,0.4360,0.3149,2.1083,client_registry|client_selector
Client 1,4,2.25,0.0,0.00,1.16,3.40,3,63.80,83.35,CNN 16k,IID,MNIST,0.1492,0.0,0.0,0.0,1.6257,0.4360,0.3149,2.1083,client_registry|client_selector
Client 3,5,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,5,2.24,0.0,0.00,1.07,3.31,3,55.05,83.15,CNN 16k,Non-IID,MNIST,0.0386,0.0,0.0,0.0,1.6205,0.3924,0.2490,2.2454,client_registry|client_selector
Client 1,5,2.29,0.0,0.00,1.02,3.31,3,63.00,83.20,CNN 16k,IID,MNIST,0.1418,0.0,0.0,0.0,1.6205,0.3924,0.2490,2.2454,client_registry|client_selector
Client 3,6,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,6,2.18,0.0,0.00,1.10,3.27,3,39.60,83.40,CNN 16k,Non-IID,MNIST,0.0368,0.0,0.0,0.0,1.7071,0.3837,0.2413,2.1346,client_registry|client_selector
Client 1,6,2.18,0.0,0.00,1.10,3.27,3,42.20,83.45,CNN 16k,IID,MNIST,0.1382,0.0,0.0,0.0,1.7071,0.3837,0.2413,2.1346,client_registry|client_selector
Client 3,7,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,7,2.22,0.0,0.00,1.15,3.38,3,31.20,83.55,CNN 16k,Non-IID,MNIST,0.0342,0.0,0.0,0.0,1.5730,0.4109,0.2790,2.0776,client_registry|client_selector
Client 1,7,2.24,0.0,0.00,1.14,3.38,3,35.40,83.65,CNN 16k,IID,MNIST,0.1342,0.0,0.0,0.0,1.5730,0.4109,0.2790,2.0776,client_registry|client_selector
