Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 3,1,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,1,2.07,0.0,0.00,3.11,5.18,3,43.40,73.15,CNN 16k,IID,MNIST,0.3635,0.0,0.0,0.0,1.9683,0.3743,0.2264,2.1993,client_registry|client_selector
Client 2,1,2.33,0.0,0.00,2.85,5.18,3,52.95,72.60,CNN 16k,Non-IID,MNIST,0.1818,0.0,0.0,0.0,1.9683,0.3743,0.2264,2.1993,client_registry|client_selector
Client 3,2,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,2,2.20,0.0,0.00,1.16,3.36,3,43.40,74.15,CNN 16k,IID,MNIST,0.1967,0.0,0.0,0.0,1.6887,0.4291,0.3026,2.1696,client_registry|client_selector
Client 2,2,2.25,0.0,0.00,1.11,3.36,3,37.65,74.10,CNN 16k,Non-IID,MNIST,0.0603,0.0,0.0,0.0,1.6887,0.4291,0.3026,2.1696,client_registry|client_selector
Client 3,3,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,3,2.26,0.0,0.00,1.15,3.41,3,44.40,75.05,CNN 16k,IID,MNIST,0.1639,0.0,0.0,0.0,1.6456,0.3955,0.2523,2.1954,client_registry|client_selector
Client 2,3,2.25,0.0,0.00,1.16,3.41,3,40.90,74.80,CNN 16k,Non-IID,MNIST,0.0445,0.0,0.0,0.0,1.6456,0.3955,0.2523,2.1954,client_registry|client_selector
Client 3,4,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,4,2.18,0.0,0.00,1.13,3.32,3,43.70,74.65,CNN 16k,IID,MNIST,0.1544,0.0,0.0,0.0,1.7485,0.4061,0.2660,2.1661,client_registry|client_selector
Client 2,4,2.20,0.0,0.00,1.11,3.32,3,38.95,74.60,CNN 16k,Non-IID,MNIST,0.0411,0.0,0.0,0.0,1.7485,0.4061,0.2660,2.1661,client_registry|client_selector
Client 3,5,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,5,2.20,0.0,0.00,1.13,3.33,3,32.55,74.60,CNN 16k,IID,MNIST,0.1461,0.0,0.0,0.0,1.7127,0.3888,0.2554,2.3492,client_registry|client_selector
Client 2,5,2.23,0.0,0.00,1.10,3.33,3,33.85,74.40,CNN 16k,Non-IID,MNIST,0.0417,0.0,0.0,0.0,1.7127,0.3888,0.2554,2.3492,client_registry|client_selector
Client 3,6,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,6,2.39,0.0,0.00,1.29,3.68,3,34.45,75.65,CNN 16k,IID,MNIST,0.1427,0.0,0.0,0.0,1.6612,0.3878,0.2412,2.2924,client_registry|client_selector
Client 2,6,2.45,0.0,0.00,1.22,3.68,3,36.80,75.65,CNN 16k,Non-IID,MNIST,0.0384,0.0,0.0,0.0,1.6612,0.3878,0.2412,2.2924,client_registry|client_selector
Client 3,7,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,7,2.52,0.0,0.00,1.21,3.73,3,37.55,75.90,CNN 16k,IID,MNIST,0.1360,0.0,0.0,0.0,1.5926,0.4015,0.2679,2.2351,client_registry|client_selector
Client 2,7,2.54,0.0,0.00,1.19,3.73,3,34.30,75.80,CNN 16k,Non-IID,MNIST,0.0360,0.0,0.0,0.0,1.5926,0.4015,0.2679,2.2351,client_registry|client_selector
Client 3,8,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,8,2.25,0.0,0.00,1.00,3.24,3,35.15,76.20,CNN 16k,IID,MNIST,0.1344,0.0,0.0,0.0,1.6360,0.4199,0.2987,2.2636,client_registry|client_selector
Client 2,8,2.26,0.0,0.00,0.99,3.24,3,33.30,76.30,CNN 16k,Non-IID,MNIST,0.0343,0.0,0.0,0.0,1.6360,0.4199,0.2987,2.2636,client_registry|client_selector
Client 3,9,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,9,2.39,0.0,0.00,1.19,3.58,3,34.80,76.75,CNN 16k,IID,MNIST,0.1338,0.0,0.0,0.0,1.5797,0.5649,0.5022,1.4441,client_registry|client_selector
Client 2,9,2.49,0.0,0.00,1.09,3.58,3,36.85,76.45,CNN 16k,Non-IID,MNIST,0.0341,0.0,0.0,0.0,1.5797,0.5649,0.5022,1.4441,client_registry|client_selector
Client 3,10,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,10,2.42,0.0,0.00,1.29,3.72,3,39.15,76.30,CNN 16k,IID,MNIST,0.1226,0.0,0.0,0.0,1.5523,0.5307,0.4635,1.6291,client_registry|client_selector
Client 2,10,2.48,0.0,0.00,1.24,3.72,3,39.50,76.50,CNN 16k,Non-IID,MNIST,0.0327,0.0,0.0,0.0,1.5523,0.5307,0.4635,1.6291,client_registry|client_selector
