Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 1,1,29.85,0.0,0.0,15.94,,5,370,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,1,4.47,0.0,0.0,7.23,,5,201,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,1,5.48,0.0,0.0,47.42,,5,86,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,1,14.16,0.0,0.0,40.5,,1,71,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,1,51.52,0.0,0.0,32.61,89.16,3,288,31,CNN 16k,IID,CIFAR-10,1.28,0.5427,0.4504,1.7369,2.06,0.425,0.3876,2.188,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,2,38.03,0.0,0.0,15.92,,5,350,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,2,11.5,0.0,0.0,8.93,,5,210,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,2,13.48,0.0,0.0,61.7,,5,129,30,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,2,61.23,0.0,0.0,33.21,100.07,3,284,29,CNN 16k,IID,CIFAR-10,1.13,0.5901,0.5212,1.3668,1.81,0.4749,0.4481,1.8793,"{ON,OFF,ON,OFF,OFF,OFF}"
Client 1,3,43.33,0.0,0.0,15.58,,5,344,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,3,15.64,0.0,0.0,10.62,,5,224,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,3,16.83,0.0,0.0,35.96,,5,203,29,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,3,62.08,0.0,0.0,32.31,99.03,3,285,28,CNN 16k,IID,CIFAR-10,1.11,0.6051,0.525,1.4534,1.7,0.4738,0.4421,2.0302,"{ON,OFF,ON,OFF,OFF,ON}"
Client 1,4,48.24,0.0,0.0,15.73,,5,334,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,4,21.5,0.0,0.0,11.19,,5,230,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,4,23.87,0.0,0.0,26.97,,5,245,28,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,4,68.38,0.0,0.0,32.98,105.76,3,285,27,CNN 16k,IID,CIFAR-10,1.05,0.6179,0.5736,1.4312,1.61,0.5241,0.5011,1.717,"{ON,OFF,ON,OFF,OFF,ON}"
Client 1,5,56.92,0.0,0.0,15.28,,5,322,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,5,29.01,0.0,0.0,13.33,,5,232,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
